"States","year","crimeRate","recidivismRate","decriminalizedMarijuana","legalizedMedicinalMarijuana","legalizedRecreationalMarijuana","population","alcoholism","medianHouseholdIncome","unemploymentRate","Percent of Population Male","Percent of Population Female","Percent of Population with High School Diploma","Percent of Population with a Bachelors Degree or more","Percent population White","Percent population Black or African American","Percent population Hispanic","Percent of Population Asian","Percent of Population American Indian/Alaska Native","Percent of Population Native Hawaiian or other Pacific Islander","Percent Multiple Races","Percent of Population 0-18","Percent of Population 19-25","Percent of Population 26-34","Percent of Population 35-54","Percent of Population 55-64","Percent of Population 65+"
"Alaska",2020,3098.37271834542,63.2,"yes","Yes","Yes",731158,18.2,74476,11.9,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2019,3767.56910754182,62,"yes","yes","yes",733603,18.1,75500,5.7,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2018,4203.28672536758,61.58,"yes","yes","yes",735139,22.1,68734,6.2,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2017,4398.70449021744,60.61,"yes","yes","yes",739786,20.5,72231,6.6,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2016,4159.28320400474,60.04,"yes","yes","yes",741522,22.7,75723,6.5,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2015,3551.1292393071,63.17,"yes","yes","yes",737709,22,75112,6.3,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2014,3394.36073189462,66.5,"no","yes","no",737046,21.3,67629,6.9,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2013,3515.72513865548,66,"no","yes","no",737259,18.4,61137,7,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2012,3347.77018431974,66,"no","yes","no",730307,NA,NA,NA,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2011,3247.86560937198,NA,"no","yes","no",723860,19.1,57431,7.6,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2010,3472.11914650506,NA,"no","yes","no",714146,16.9,57848,8,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2009,3578.9500811055,NA,"No","Yes","No",698473,17.6,61604,8,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2008,3584.18343185782,NA,"No","Yes","No",686293,18.3,63989,6.7,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alaska",2007,4040.65675852039,50.4,"No","Yes","No",683478,NA,NA,NA,51.1,48.9,93,30,60,2.2,7,6,"15.1","1.5",8.3,26,9,13.6,24.9,11.8,14.7
"Alabama",2020,2590.31130956783,28.74,"no","no","no",4921532,13.5,52035,13.7,48.3,51.7,86,26,65.4,26.5,4.4,1.4,"0.4","N/A",1.9,0.238,0.087,0.112,0.26,0.126,0.177
"Alabama",2019,3127.46729041466,27.95,"no","no","no",4907965,13.8,51700,3.6,48.3,51.7,86,26,65.4,26.5,4.4,1.4,"0.4","N/A",1.9,0.238,0.087,0.112,0.26,0.126,0.177
"Alabama",2018,3360.87809331255,29.16,"no","no","no",4887681,13.7,49936,4,48.3,51.7,86,26,65.4,26.5,4.4,1.4,"0.4","N/A",1.9,0.238,0.087,0.112,0.26,0.126,0.177
"Alabama",2017,3471.56582812321,28.74,"no","no","no",4875120,14.1,51113,5.2,48.3,51.7,86,26,65.4,26.5,4.4,1.4,"0.4","N/A",1.9,0.238,0.087,0.112,0.26,0.126,0.177
"Alabama",2016,3479.79496126463,27.95,"no","no","no",4860545,12.7,47221,6,48.3,51.7,86,26,65.4,26.5,4.4,1.4,"0.4","N/A",1.9,0.238,0.087,0.112,0.26,0.126,0.177
"Alabama",2015,3455.83683139759,28.13,"no","no","no",4853875,13.1,44509,6.1,48.3,51.7,86,26,65.4,26.5,4.4,1.4,"0.4","N/A",1.9,0.238,0.087,0.112,0.26,0.126,0.177
"Alabama",2014,3607.08161152655,31,"no","no","no",4846411,12.4,42278,7.1,48.3,51.7,86,26,65.4,26.5,4.4,1.4,"0.4","N/A",1.9,0.238,0.087,0.112,0.26,0.126,0.177
"Alabama",2013,3778.8405286227,31.9,"no","no","no",4833996,13.4,41381,7.6,48.3,51.7,86,26,65.4,26.5,4.4,1.4,"0.4","N/A",1.9,0.238,0.087,0.112,0.26,0.126,0.177
"Alabama",2012,3955.78396223125,32.6,"no","no","no",4817528,NA,NA,NA,48.3,51.7,86,26,65.4,26.5,4.4,1.4,"0.4","N/A",1.9,0.238,0.087,0.112,0.26,0.126,0.177
"Alabama",2011,4025.19813418396,31.03,"no","no","no",4803689,10.4,42590,9,48.3,51.7,86,26,65.4,26.5,4.4,1.4,"0.4","N/A",1.9,0.238,0.087,0.112,0.26,0.126,0.177
"Alabama",2010,3911.70980237602,32.13,"no","no","no",4785401,11.4,40933,9.4,48.3,51.7,86,26,65.4,26.5,4.4,1.4,"0.4","N/A",1.9,0.238,0.087,0.112,0.26,0.126,0.177
"Alabama",2009,4222.13481914784,32.64,"No","No","No",4708708,11.4,39980,10.1,48.3,51.7,86,26,65.4,26.5,4.4,1.4,"0.4","N/A",1.9,0.238,0.087,0.112,0.26,0.126,0.177
"Alabama",2008,4535.79012848838,34,"No","No","No",4661900,11.1,44476,5,48.3,51.7,86,26,65.4,26.5,4.4,1.4,"0.4","N/A",1.9,0.238,0.087,0.112,0.26,0.126,0.177
"Alabama",2007,4419.54591882928,30.1,"No","No","No",4627851,NA,NA,NA,48.3,51.7,86,26,65.4,26.5,4.4,1.4,"0.4","N/A",1.9,0.238,0.087,0.112,0.26,0.126,0.177
"Arkansas",2020,3285.3416012159,53.2,"no","yes","no",3030522,15.3,49475,10,48.7,51.3,87,23,72.1,15.2,7.8,1.6,"0.6","0.4",2.4,0.247,0.094,0.109,0.236,0.132,0.183
"Arkansas",2019,3428.5506217343,48.3,"no","yes","no",3020985,16.4,49000,3.5,48.7,51.3,87,23,72.1,15.2,7.8,1.6,"0.6","0.4",2.4,0.247,0.094,0.109,0.236,0.132,0.183
"Arkansas",2018,3524.59836138289,46,"no","yes","no",3009733,17.3,49781,3.7,48.7,51.3,87,23,72.1,15.2,7.8,1.6,"0.6","0.4",2.4,0.247,0.094,0.109,0.236,0.132,0.183
"Arkansas",2017,3710.12691654371,46.1,"no","yes","no",3002997,17,48829,3.7,48.7,51.3,87,23,72.1,15.2,7.8,1.6,"0.6","0.4",2.4,0.247,0.094,0.109,0.236,0.132,0.183
"Arkansas",2016,3836.88543489442,47.49,"no","yes","no",2988231,16.1,45907,4.1,48.7,51.3,87,23,72.1,15.2,7.8,1.6,"0.6","0.4",2.4,0.247,0.094,0.109,0.236,0.132,0.183
"Arkansas",2015,3800.05325984862,49.17,"no","no","no",2977853,14.9,42798,5.4,48.7,51.3,87,23,72.1,15.2,7.8,1.6,"0.6","0.4",2.4,0.247,0.094,0.109,0.236,0.132,0.183
"Arkansas",2014,3832.36681514139,51.13,"no","no","no",2966835,14,44922,6.3,48.7,51.3,87,23,72.1,15.2,7.8,1.6,"0.6","0.4",2.4,0.247,0.094,0.109,0.236,0.132,0.183
"Arkansas",2013,4061.89744707674,49.05,"no","no","no",2958765,13.2,39919,7.2,48.7,51.3,87,23,72.1,15.2,7.8,1.6,"0.6","0.4",2.4,0.247,0.094,0.109,0.236,0.132,0.183
"Arkansas",2012,4177.87070974986,43.63,"no","no","no",2949828,NA,NA,NA,48.7,51.3,87,23,72.1,15.2,7.8,1.6,"0.6","0.4",2.4,0.247,0.094,0.109,0.236,0.132,0.183
"Arkansas",2011,4240.24240262821,36.7,"no","no","no",2938582,10.6,41302,8,48.7,51.3,87,23,72.1,15.2,7.8,1.6,"0.6","0.4",2.4,0.247,0.094,0.109,0.236,0.132,0.183
"Arkansas",2010,4057.07444033861,43.2,"no","no","no",2921588,12.1,38587,7.8,48.7,51.3,87,23,72.1,15.2,7.8,1.6,"0.6","0.4",2.4,0.247,0.094,0.109,0.236,0.132,0.183
"Arkansas",2009,4291.3703299936,NA,"No","No","No",2889450,11.5,36538,7.3,48.7,51.3,87,23,72.1,15.2,7.8,1.6,"0.6","0.4",2.4,0.247,0.094,0.109,0.236,0.132,0.183
"Arkansas",2008,4338.53168919132,NA,"No","No","No",2855390,11.4,39586,5.1,48.7,51.3,87,23,72.1,15.2,7.8,1.6,"0.6","0.4",2.4,0.247,0.094,0.109,0.236,0.132,0.183
"Arkansas",2007,4482.43736676736,44.4,"No","No","No",2834797,NA,NA,NA,48.7,51.3,87,23,72.1,15.2,7.8,1.6,"0.6","0.4",2.4,0.247,0.094,0.109,0.236,0.132,0.183
"Arizona",2020,2712.46628500468,40.6,"yes","yes","yes",7421401,16.5,61529,13.9,49.7,50.3,87,30,54.2,4.3,31.8,3.3,"3.9","0.2",2.4,0.232,0.101,0.117,0.238,0.12,0.192
"Arizona",2019,2883.0982784462,NA,"no","yes","no",7291843,17,62100,4.9,49.7,50.3,87,30,54.2,4.3,31.8,3.3,"3.9","0.2",2.4,0.232,0.101,0.117,0.238,0.12,0.192
"Arizona",2018,3168.23469717341,NA,"no","yes","no",7158024,16,62283,4.8,49.7,50.3,87,30,54.2,4.3,31.8,3.3,"3.9","0.2",2.4,0.232,0.101,0.117,0.238,0.12,0.192
"Arizona",2017,3413.96273675406,NA,"no","yes","no",7048876,16.9,61125,5.2,49.7,50.3,87,30,54.2,4.3,31.8,3.3,"3.9","0.2",2.4,0.232,0.101,0.117,0.238,0.12,0.192
"Arizona",2016,3471.86900117273,38.6,"no","yes","no",6908642,15.5,57100,5.6,49.7,50.3,87,30,54.2,4.3,31.8,3.3,"3.9","0.2",2.4,0.232,0.101,0.117,0.238,0.12,0.192
"Arizona",2015,3449.20803835387,NA,"no","yes","no",6817565,16.1,52248,6.3,49.7,50.3,87,30,54.2,4.3,31.8,3.3,"3.9","0.2",2.4,0.232,0.101,0.117,0.238,0.12,0.192
"Arizona",2014,3564.21064552089,NA,"no","yes","no",6728783,15.4,49254,7.1,49.7,50.3,87,30,54.2,4.3,31.8,3.3,"3.9","0.2",2.4,0.232,0.101,0.117,0.238,0.12,0.192
"Arizona",2013,3781.0115061092,42.4,"no","yes","no",6634997,16.8,50602,8.1,49.7,50.3,87,30,54.2,4.3,31.8,3.3,"3.9","0.2",2.4,0.232,0.101,0.117,0.238,0.12,0.192
"Arizona",2012,3965.38072939571,NA,"no","yes","no",6551149,NA,NA,NA,49.7,50.3,87,30,54.2,4.3,31.8,3.3,"3.9","0.2",2.4,0.232,0.101,0.117,0.238,0.12,0.192
"Arizona",2011,3968.9577514007,NA,"no","yes","no",6467315,13.2,48621,9.5,49.7,50.3,87,30,54.2,4.3,31.8,3.3,"3.9","0.2",2.4,0.232,0.101,0.117,0.238,0.12,0.192
"Arizona",2010,3950.15996799081,NA,"no","yes","no",6413158,15.3,46896,9.9,49.7,50.3,87,30,54.2,4.3,31.8,3.3,"3.9","0.2",2.4,0.232,0.101,0.117,0.238,0.12,0.192
"Arizona",2009,3964.82416479148,NA,"No","No","No",6595778,15.3,45739,9.1,49.7,50.3,87,30,54.2,4.3,31.8,3.3,"3.9","0.2",2.4,0.232,0.101,0.117,0.238,0.12,0.192
"Arizona",2008,4738.0072551837,NA,"No","No","No",6500180,15.1,46914,5.5,49.7,50.3,87,30,54.2,4.3,31.8,3.3,"3.9","0.2",2.4,0.232,0.101,0.117,0.238,0.12,0.192
"Arizona",2007,4896.76600531177,39.1,"No","No","No",6338755,NA,NA,NA,49.7,50.3,87,30,54.2,4.3,31.8,3.3,"3.9","0.2",2.4,0.232,0.101,0.117,0.238,0.12,0.192
"California",2020,2580.97436201991,46,"yes","yes","yes",39368078,17.8,78672,15.9,49.9,50.1,83,34,36.4,5.3,39.5,14.7,"0.4","0.4",3.3,0.234,0.096,0.134,0.259,0.123,0.154
"California",2019,2777.85088903714,46,"yes","yes","yes",39437610,16.9,80400,4.2,49.9,50.1,83,34,36.4,5.3,39.5,14.7,"0.4","0.4",3.3,0.234,0.096,0.134,0.259,0.123,0.154
"California",2018,2833.76330420357,NA,"yes","yes","yes",39461588,18.7,70489,4.3,49.9,50.1,83,34,36.4,5.3,39.5,14.7,"0.4","0.4",3.3,0.234,0.096,0.134,0.259,0.123,0.154
"California",2017,2958.57680288068,NA,"yes","yes","yes",39399349,17.2,69759,5.1,49.9,50.1,83,34,36.4,5.3,39.5,14.7,"0.4","0.4",3.3,0.234,0.096,0.134,0.259,0.123,0.154
"California",2016,2994.8385193624,NA,"yes","yes","yes",39296476,17.4,66637,5.6,49.9,50.1,83,34,36.4,5.3,39.5,14.7,"0.4","0.4",3.3,0.234,0.096,0.134,0.259,0.123,0.154
"California",2015,3056.36465563624,46.5,"no","yes","no",38993940,16.7,63636,6.7,49.9,50.1,83,34,36.4,5.3,39.5,14.7,"0.4","0.4",3.3,0.234,0.096,0.134,0.259,0.123,0.154
"California",2014,2838.07934932227,46.1,"no","yes","no",38792291,18.5,60487,8.1,49.9,50.1,83,34,36.4,5.3,39.5,14.7,"0.4","0.4",3.3,0.234,0.096,0.134,0.259,0.123,0.154
"California",2013,3053.87317082157,46.1,"no","yes","no",38431393,17.9,57528,9.5,49.9,50.1,83,34,36.4,5.3,39.5,14.7,"0.4","0.4",3.3,0.234,0.096,0.134,0.259,0.123,0.154
"California",2012,3185.29706858533,54.3,"no","yes","no",37999878,NA,NA,NA,49.9,50.1,83,34,36.4,5.3,39.5,14.7,"0.4","0.4",3.3,0.234,0.096,0.134,0.259,0.123,0.154
"California",2011,2995.34817663538,51.3,"no","yes","no",37683933,15.8,53367,11.7,49.9,50.1,83,34,36.4,5.3,39.5,14.7,"0.4","0.4",3.3,0.234,0.096,0.134,0.259,0.123,0.154
"California",2010,3069.43575584446,49.5,"no","yes","no",37338198,15.7,54283,12.4,49.9,50.1,83,34,36.4,5.3,39.5,14.7,"0.4","0.4",3.3,0.234,0.096,0.134,0.259,0.123,0.154
"California",2009,3203.51648670363,49.1,"No","Yes","No",36961664,16.1,56134,11.4,49.9,50.1,83,34,36.4,5.3,39.5,14.7,"0.4","0.4",3.3,0.234,0.096,0.134,0.259,0.123,0.154
"California",2008,3444.0555626019,49.6,"No","Yes","No",36756666,16.2,57014,7.2,49.9,50.1,83,34,36.4,5.3,39.5,14.7,"0.4","0.4",3.3,0.234,0.096,0.134,0.259,0.123,0.154
"California",2007,3555.59695638263,51.5,"No","Yes","No",36553215,NA,NA,NA,49.9,50.1,83,34,36.4,5.3,39.5,14.7,"0.4","0.4",3.3,0.234,0.096,0.134,0.259,0.123,0.154
"Colorado",2020,3256.90688547431,NA,"yes","yes","yes",5807719,19.3,75231,11.6,49.9,50.1,92,41,67.8,3.8,21.8,3.2,"0.5","0.1",2.8,0.225,0.097,0.138,0.265,0.127,0.148
"Colorado",2019,2999.27793520727,NA,"yes","yes","yes",5758486,20.3,77100,2.8,49.9,50.1,92,41,67.8,3.8,21.8,3.2,"0.5","0.1",2.8,0.225,0.097,0.138,0.265,0.127,0.148
"Colorado",2018,3112.52973185151,40.1,"yes","yes","yes",5691287,20,73034,2.9,49.9,50.1,92,41,67.8,3.8,21.8,3.2,"0.5","0.1",2.8,0.225,0.097,0.138,0.265,0.127,0.148
"Colorado",2017,3079.34504555101,44.9,"yes","yes","yes",5615902,20,74172,2.5,49.9,50.1,92,41,67.8,3.8,21.8,3.2,"0.5","0.1",2.8,0.225,0.097,0.138,0.265,0.127,0.148
"Colorado",2016,3095.34809917714,47.2,"yes","yes","yes",5530105,18.8,70566,3.3,49.9,50.1,92,41,67.8,3.8,21.8,3.2,"0.5","0.1",2.8,0.225,0.097,0.138,0.265,0.127,0.148
"Colorado",2015,2961.96295013653,48.1,"yes","yes","yes",5448819,18.4,66596,4.1,49.9,50.1,92,41,67.8,3.8,21.8,3.2,"0.5","0.1",2.8,0.225,0.097,0.138,0.265,0.127,0.148
"Colorado",2014,2843.31057579485,49.5,"yes","yes","yes",5355588,19.4,60940,5.8,49.9,50.1,92,41,67.8,3.8,21.8,3.2,"0.5","0.1",2.8,0.225,0.097,0.138,0.265,0.127,0.148
"Colorado",2013,2960.36521407276,50,"yes","yes","yes",5272086,20.2,63371,7.2,49.9,50.1,92,41,67.8,3.8,21.8,3.2,"0.5","0.1",2.8,0.225,0.097,0.138,0.265,0.127,0.148
"Colorado",2012,2992.72101248338,48.6,"yes","yes","yes",5189458,NA,NA,NA,49.9,50.1,92,41,67.8,3.8,21.8,3.2,"0.5","0.1",2.8,0.225,0.097,0.138,0.265,0.127,0.148
"Colorado",2011,2909.64059588351,46.1,"no","yes","no",5116302,15.9,58629,8.3,49.9,50.1,92,41,67.8,3.8,21.8,3.2,"0.5","0.1",2.8,0.225,0.097,0.138,0.265,0.127,0.148
"Colorado",2010,2998.20195051521,48.8,"no","yes","no",5047692,16.1,60233,8.9,49.9,50.1,92,41,67.8,3.8,21.8,3.2,"0.5","0.1",2.8,0.225,0.097,0.138,0.265,0.127,0.148
"Colorado",2009,3004.01134544459,49.8,"No","Yes","No",5024748,16.6,55930,7.7,49.9,50.1,92,41,67.8,3.8,21.8,3.2,"0.5","0.1",2.8,0.225,0.097,0.138,0.265,0.127,0.148
"Colorado",2008,3192.07216341233,51.8,"No","Yes","No",4939456,17,60943,4.9,49.9,50.1,92,41,67.8,3.8,21.8,3.2,"0.5","0.1",2.8,0.225,0.097,0.138,0.265,0.127,0.148
"Colorado",2007,3353.8310588366,51.8,"No","Yes","No",4861515,NA,NA,NA,49.9,50.1,92,41,67.8,3.8,21.8,3.2,"0.5","0.1",2.8,0.225,0.097,0.138,0.265,0.127,0.148
"Connecticut",2020,1746.665594604,NA,"no","yes","no",3557006,16.8,79855,8,48.3,51.7,91,39,65.7,10,16.9,4.6,"0.2","N/A",2.6,0.215,0.085,0.126,0.234,0.14,0.201
"Connecticut",2019,1616.89972748345,NA,"no","yes","no",3566022,18.2,78800,3.6,48.3,51.7,91,39,65.7,10,16.9,4.6,"0.2","N/A",2.6,0.215,0.085,0.126,0.234,0.14,0.201
"Connecticut",2018,1871.50008959771,44,"no","yes","no",3571520,16.5,72812,4.2,48.3,51.7,91,39,65.7,10,16.9,4.6,"0.2","N/A",2.6,0.215,0.085,0.126,0.234,0.14,0.201
"Connecticut",2017,2010.02831656351,49,"no","yes","no",3573880,17.9,72780,4.5,48.3,51.7,91,39,65.7,10,16.9,4.6,"0.2","N/A",2.6,0.215,0.085,0.126,0.234,0.14,0.201
"Connecticut",2016,2035.96469589722,49,"no","yes","no",3587685,18,75923,5.2,48.3,51.7,91,39,65.7,10,16.9,4.6,"0.2","N/A",2.6,0.215,0.085,0.126,0.234,0.14,0.201
"Connecticut",2015,2051.70263869245,50,"no","yes","no",3584730,17.2,72889,5.9,48.3,51.7,91,39,65.7,10,16.9,4.6,"0.2","N/A",2.6,0.215,0.085,0.126,0.234,0.14,0.201
"Connecticut",2014,2167.06975315751,NA,"no","yes","no",3594762,19.6,70161,7.1,48.3,51.7,91,39,65.7,10,16.9,4.6,"0.2","N/A",2.6,0.215,0.085,0.126,0.234,0.14,0.201
"Connecticut",2013,2242.43826856083,54.3,"no","yes","no",3599341,18.7,67781,8.3,48.3,51.7,91,39,65.7,10,16.9,4.6,"0.2","N/A",2.6,0.215,0.085,0.126,0.234,0.14,0.201
"Connecticut",2012,2432.0076619712,50,"no","yes","no",3591765,NA,NA,NA,48.3,51.7,91,39,65.7,10,16.9,4.6,"0.2","N/A",2.6,0.215,0.085,0.126,0.234,0.14,0.201
"Connecticut",2011,2428.23729890036,NA,"no","no","no",3586717,18.2,65415,8.8,48.3,51.7,91,39,65.7,10,16.9,4.6,"0.2","N/A",2.6,0.215,0.085,0.126,0.234,0.14,0.201
"Connecticut",2010,2470.76071640929,NA,"no","no","no",3575498,17.9,65998,9.1,48.3,51.7,91,39,65.7,10,16.9,4.6,"0.2","N/A",2.6,0.215,0.085,0.126,0.234,0.14,0.201
"Connecticut",2009,2634.49154816206,NA,"No","No","No",3518288,17.3,64851,8.2,48.3,51.7,91,39,65.7,10,16.9,4.6,"0.2","N/A",2.6,0.215,0.085,0.126,0.234,0.14,0.201
"Connecticut",2008,2756.55679739705,54,"No","No","No",3501252,16.1,64682,5.7,48.3,51.7,91,39,65.7,10,16.9,4.6,"0.2","N/A",2.6,0.215,0.085,0.126,0.234,0.14,0.201
"Connecticut",2007,2655.87645179223,43.7,"No","No","No",3502309,NA,NA,NA,48.3,51.7,91,39,65.7,10,16.9,4.6,"0.2","N/A",2.6,0.215,0.085,0.126,0.234,0.14,0.201
"DC",2020,4492.88455926915,NA,"yes","yes","yes",712816,27.3,90842,11.1,48.1,51.9,71,39,36.7,45,11.2,3.7,"0.3","N/A",3.1,0.186,0.11,0.209,0.276,0.088,0.131
"DC",2019,5396.65910345597,NA,"yes","yes","yes",708253,26.5,92300,5.9,48.1,51.9,71,39,36.7,45,11.2,3.7,"0.3","N/A",3.1,0.186,0.11,0.209,0.276,0.088,0.131
"DC",2018,5376.83148812553,NA,"yes","yes","yes",701547,27.9,85750,5.9,48.1,51.9,71,39,36.7,45,11.2,3.7,"0.3","N/A",3.1,0.186,0.11,0.209,0.276,0.088,0.131
"DC",2017,5277.05547434134,NA,"yes","yes","yes",695691,27.6,83382,6.2,48.1,51.9,71,39,36.7,45,11.2,3.7,"0.3","N/A",3.1,0.186,0.11,0.209,0.276,0.088,0.131
"DC",2016,5934.65782890276,NA,"yes","yes","yes",684336,30.4,70982,6.3,48.1,51.9,71,39,36.7,45,11.2,3.7,"0.3","N/A",3.1,0.186,0.11,0.209,0.276,0.088,0.131
"DC",2015,5964.10676380604,NA,"yes","yes","yes",670377,27.6,70071,7.3,48.1,51.9,71,39,36.7,45,11.2,3.7,"0.3","N/A",3.1,0.186,0.11,0.209,0.276,0.088,0.131
"DC",2014,6417.6552961645,NA,"yes","yes","No",659836,24.5,68277,7.9,48.1,51.9,71,39,36.7,45,11.2,3.7,"0.3","N/A",3.1,0.186,0.11,0.209,0.276,0.088,0.131
"DC",2013,6087.09450309731,NA,"no","Yes","no",649111,25.6,60675,8.7,48.1,51.9,71,39,36.7,45,11.2,3.7,"0.3","N/A",3.1,0.186,0.11,0.209,0.276,0.088,0.131
"DC",2012,6097.46663782883,NA,"no","Yes","no",633427,NA,NA,NA,48.1,51.9,71,39,36.7,45,11.2,3.7,"0.3","N/A",3.1,0.186,0.11,0.209,0.276,0.088,0.131
"DC",2011,5991.24422474234,NA,"no","Yes","no",619020,16.4,55251,10.2,48.1,51.9,71,39,36.7,45,11.2,3.7,"0.3","N/A",3.1,0.186,0.11,0.209,0.276,0.088,0.131
"DC",2010,6088.15827756765,NA,"no","no","no",604912,18.9,56928,9.9,48.1,51.9,71,39,36.7,45,11.2,3.7,"0.3","N/A",3.1,0.186,0.11,0.209,0.276,0.088,0.131
"DC",2009,6091.31553538106,NA,"No","No","No",599657,17,53141,10.2,48.1,51.9,71,39,36.7,45,11.2,3.7,"0.3","N/A",3.1,0.186,0.11,0.209,0.276,0.088,0.131
"DC",2008,6542.38611229857,NA,"No","No","No",591833,16,55590,7,48.1,51.9,71,39,36.7,45,11.2,3.7,"0.3","N/A",3.1,0.186,0.11,0.209,0.276,0.088,0.131
"DC",2007,6328.14996634324,NA,"No","No","No",588292,NA,NA,NA,48.1,51.9,71,39,36.7,45,11.2,3.7,"0.3","N/A",3.1,0.186,0.11,0.209,0.276,0.088,0.131
"Delaware",2020,2393.2696195515,65,"yes","yes","no",986809,19.2,69110,13.1,48.1,51.9,90,32,61.4,21.8,9.7,3.9,"0.3","N/A",2.8,0.211,0.09,0.119,0.228,0.145,0.207
"Delaware",2019,2668.25574299557,NA,"yes","yes","no",976668,17.9,70200,3.6,48.1,51.9,90,32,61.4,21.8,9.7,3.9,"0.3","N/A",2.8,0.211,0.09,0.119,0.228,0.145,0.207
"Delaware",2018,2743.09436041592,NA,"yes","yes","no",965479,16.4,65012,4.1,48.1,51.9,90,32,61.4,21.8,9.7,3.9,"0.3","N/A",2.8,0.211,0.09,0.119,0.228,0.145,0.207
"Delaware",2017,2905.40582899199,NA,"yes","yes","no",957078,18.9,62318,4.6,48.1,51.9,90,32,61.4,21.8,9.7,3.9,"0.3","N/A",2.8,0.211,0.09,0.119,0.228,0.145,0.207
"Delaware",2016,3277.95376919024,62.2,"yes","yes","no",952698,16.8,58046,4.5,48.1,51.9,90,32,61.4,21.8,9.7,3.9,"0.3","N/A",2.8,0.211,0.09,0.119,0.228,0.145,0.207
"Delaware",2015,3210.01699015757,NA,"yes","yes","no",944076,17.5,57756,4.9,48.1,51.9,90,32,61.4,21.8,9.7,3.9,"0.3","N/A",2.8,0.211,0.09,0.119,0.228,0.145,0.207
"Delaware",2014,3470.5246333208,67.6,"no","yes","no",935968,18.5,57522,6,48.1,51.9,90,32,61.4,21.8,9.7,3.9,"0.3","N/A",2.8,0.211,0.09,0.119,0.228,0.145,0.207
"Delaware",2013,3635.16493018028,67.7,"no","yes","no",925240,20.2,52219,7,48.1,51.9,90,32,61.4,21.8,9.7,3.9,"0.3","N/A",2.8,0.211,0.09,0.119,0.228,0.145,0.207
"Delaware",2012,3898.90224447224,68.3,"no","yes","no",917053,NA,NA,NA,48.1,51.9,90,32,61.4,21.8,9.7,3.9,"0.3","N/A",2.8,0.211,0.09,0.119,0.228,0.145,0.207
"Delaware",2011,3997.96506474243,NA,"no","yes","no",908137,18.6,54660,7.3,48.1,51.9,90,32,61.4,21.8,9.7,3.9,"0.3","N/A",2.8,0.211,0.09,0.119,0.228,0.145,0.207
"Delaware",2010,4077.16450024006,NA,"no","no","no",899792,18.2,55214,8.4,48.1,51.9,90,32,61.4,21.8,9.7,3.9,"0.3","N/A",2.8,0.211,0.09,0.119,0.228,0.145,0.207
"Delaware",2009,3986.23014680462,NA,"No","No","No",885122,18.3,52114,8.1,48.1,51.9,90,32,61.4,21.8,9.7,3.9,"0.3","N/A",2.8,0.211,0.09,0.119,0.228,0.145,0.207
"Delaware",2008,4288.66602832233,NA,"No","No","No",873092,18.8,50702,4.8,48.1,51.9,90,32,61.4,21.8,9.7,3.9,"0.3","N/A",2.8,0.211,0.09,0.119,0.228,0.145,0.207
"Delaware",2007,4059.25778593929,NA,"No","No","No",864764,NA,NA,NA,48.1,51.9,90,32,61.4,21.8,9.7,3.9,"0.3","N/A",2.8,0.211,0.09,0.119,0.228,0.145,0.207
"Florida",2020,2153.0266532777,24.5,"no","yes","no",21733312,17,57703,13.2,48.8,51.2,88,30,53,15,26.6,2.7,"0.2","0.1",2.4,0.208,0.074,0.122,0.244,0.141,0.211
"Florida",2019,2523.05782192267,24.5,"no","yes","no",21492056,17.1,59200,3.5,48.8,51.2,88,30,53,15,26.6,2.7,"0.2","0.1",2.4,0.208,0.074,0.122,0.244,0.141,0.211
"Florida",2018,2673.64208508092,NA,"no","yes","no",21244317,16.4,54644,3.9,48.8,51.2,88,30,53,15,26.6,2.7,"0.2","0.1",2.4,0.208,0.074,0.122,0.244,0.141,0.211
